Seu Número,No Documento,Vl. Aquisição,Vl. Nominal,Prazo,Tx. Juros,Sacado,Chave
Aquisição,,,,,,,
00000000002100000000491,126914001,"R$ 293,35","R$ 306,00",42,"28,8285 %",AGRICOLA MORENO DE LUIZ ANTONIO LTDA,35190951986958000134550010001269141002348138
00000000002100000000491,126913001,"R$ 357,11","R$ 364,90",21,"29,5574 %",APOLOTECH TECNOLOGIA PARA PNEUS LTDA,35190951986958000134550010001269131004642516
00000000002100000000491,126910001,"R$ 570,88","R$ 583,33",21,"29,5489 %",RODCAR COM DE PECAS E SERV P VEICUL AUTO,35190951986958000134550010001269101004582325
00000000002100000000491,126910002,"R$ 565,04","R$ 583,33",32,"28,5143 %",RODCAR COM DE PECAS E SERV P VEICUL AUTO,35190951986958000134550010001269101004582325
00000000002100000000491,126910003,"R$ 559,21","R$ 583,34",42,"28,8490 %",RODCAR COM DE PECAS E SERV P VEICUL AUTO,35190951986958000134550010001269101004582325
00000000002100000000491,126912001,"R$ 137,85","R$ 140,00",14,"32,1243 %",SANTA ROSA COMERCIO INDUST METAIS LTDA,35190951986958000134550010001269121007313540
00000000002100000000491,126909001,"R$ 150,65","R$ 153,00",14,"32,1300 %",LOGGLASS LOGISTICA E TRANSPORTES LTDA,35190951986958000134550010001269091001197047
00000000002100000000491,126901001,"R$ 2.002,23","R$ 2.045,90",21,"29,5523 %",R.L.C. COMERCIO DE PNEUS E PECAS LTDA,35190951986958000134550010001269011001988763
00000000002100000000491,126902001,"R$ 487,07","R$ 497,02",19,"30,7626 %",TRANSPORTADORA EL KOUBA LTDA,35190951986958000134550010001269021007113545
00000000002100000000491,126889001,"R$ 1.533,83","R$ 1.600,01",42,"28,8466 %",JSL S.A.,35190951986958000134550010001268891006197067
00000000002100000000491,126891001,"R$ 875,96","R$ 895,07",21,"29,5605 %",SOLLUS MECANIZACAO AGRICOLA LTDA,35190951986958000134550010001268911001098760
00000000002100000000491,126891002,"R$ 858,05","R$ 895,07",42,"28,8447 %",SOLLUS MECANIZACAO AGRICOLA LTDA,35190951986958000134550010001268911001098760
00000000002100000000491,126891003,"R$ 840,13","R$ 895,06",62,"29,3592 %",SOLLUS MECANIZACAO AGRICOLA LTDA,35190951986958000134550010001268911001098760
00000000002100000000491,126892001,"R$ 788,48","R$ 814,00",32,"28,5111 %",BP BIOENERGIA ITUMBIARA S A,35190951986958000134550010001268921008713548
00000000002100000000491,126887001,"R$ 3.049,91","R$ 3.181,50",42,"28,8455 %",JSL S.A.,35190951986958000134550010001268871002005649
00000000002100000000491,126897001,"R$ 246,99","R$ 252,38",21,"29,5707 %",B J TRANSPORTES DE ITATIBA LTDA,35190951986958000134550010001268971002015640
00000000002100000000491,126893001,"R$ 332,74","R$ 340,00",21,"29,5647 %",CIOATTO COMERCIO DE PECAS P/IMPLEMENTOS,35190951986958000134550010001268931001642537
00000000002100000000491,126878001,"R$ 789,16","R$ 805,82",20,"30,1127 %",PRIMOTECH LOGISTICA E SERVICOS LTDA,35190951986958000134550010001268781000491253
00000000002100000000491,126878002,"R$ 781,09","R$ 805,82",31,"28,8375 %",PRIMOTECH LOGISTICA E SERVICOS LTDA,35190951986958000134550010001268781000491253
00000000002100000000492,126878003,"R$ 773,02","R$ 805,81",42,"28,3073 %",PRIMOTECH LOGISTICA E SERVICOS LTDA,35190951986958000134550010001268781000491253
00000000002100000000492,126885001,"R$ 479,87","R$ 489,34",18,"31,4679 %",RODAN COMERCIO DE PECAS E IMPLEMENTOS TR,35190951986958000134550010001268851003926654
00000000002100000000492,126875001,"R$ 352,56","R$ 360,00",20,"30,0994 %",MOOTRAT PECAS PARA TRATORES LTDA,35190951986958000134550010001268751003926453
00000000002100000000492,126875002,"R$ 345,35","R$ 360,00",42,"28,3093 %",MOOTRAT PECAS PARA TRATORES LTDA,35190951986958000134550010001268751003926453
00000000002100000000492,126880001,"R$ 1.475,51","R$ 1.506,67",20,"30,1240 %",EMPRESA DE TRANSPORTES TRANS AGUIAR LTDA,35190951986958000134550010001268801004599324
00000000002100000000492,126880002,"R$ 1.445,36","R$ 1.506,67",42,"28,3077 %",EMPRESA DE TRANSPORTES TRANS AGUIAR LTDA,35190951986958000134550010001268801004599324
00000000002100000000492,126880003,"R$ 1.415,20","R$ 1.506,66",62,"28,9866 %",EMPRESA DE TRANSPORTES TRANS AGUIAR LTDA,35190951986958000134550010001268801004599324
00000000002100000000492,126873001,"R$ 3.213,15","R$ 3.281,00",20,"30,1212 %",MARIO LUIZ VERDI & FILHO LTDA,35190951986958000134550010001268731009642533
00000000002100000000492,126873002,"R$ 3.147,49","R$ 3.281,00",42,"28,3073 %",MARIO LUIZ VERDI & FILHO LTDA,35190951986958000134550010001268731009642533
00000000002100000000492,126873003,"R$ 3.081,83","R$ 3.281,00",62,"28,9867 %",MARIO LUIZ VERDI & FILHO LTDA,35190951986958000134550010001268731009642533
00000000002100000000492,126882001,"R$ 254,97","R$ 260,00",18,"31,4558 %",SANTIN EMPRESA DE TRANSPORTES ESPECIAIS,35190951986958000134550010001268821008813546
00000000002100000000492,126883001,"R$ 391,73","R$ 400,00",20,"30,1133 %",TRANSPORTADORA TRANS-SHIBATA EIRELI,35190951986958000134550010001268831003642538
00000000002100000000492,126883002,"R$ 383,72","R$ 400,00",42,"28,3138 %",TRANSPORTADORA TRANS-SHIBATA EIRELI,35190951986958000134550010001268831003642538
