Seu Número,No Documento,Vl. Aquisição,Vl. Nominal,Prazo,Tx. Juros,Sacado,Chave
Aquisição,,,,,,,
00000000132600000000501,21792001,"R$ 26.463,70","R$ 27.375,00",26,"38,8390 %",RECRUSUL S/A,43190988644091000220550010000217921210314151
00000000132600000000501,21792002,"R$ 23.527,61","R$ 25.000,00",47,"38,4670 %",RECRUSUL S/A,43190988644091000220550010000217921210314151
00000000132600000000501,21792003,"R$ 22.887,44","R$ 25.000,00",67,"39,3846 %",RECRUSUL S/A,43190988644091000220550010000217921210314151
00000000132600000000501,21792004,"R$ 22.674,05","R$ 25.000,00",73,"40,0892 %",RECRUSUL S/A,43190988644091000220550010000217921210314151
00000000132600000000501,21791001,"R$ 15.850,28","R$ 16.857,50",48,"38,1880 %",TRUCKVAN INDUSTRIA E COMERCIO LTDA,43190988644091000220550010000217911091907041
00000000132600000000501,21791002,"R$ 14.016,92","R$ 15.325,00",67,"39,8744 %",TRUCKVAN INDUSTRIA E COMERCIO LTDA,43190988644091000220550010000217911091907041
