Seu Número,No Documento,Vl. Aquisição,Vl. Nominal,Prazo,Tx. Juros,Sacado,Chave
Aquisição,,,,,,,
00000000132600000000508,21809001,"R$ 1.457,04","R$ 1.474,36",7,"53,0222 %",CNH INDUSTRIAL BRASIL LTDA,43190988644091000220550010000218091129668258
00000000132600000000508,21810001,"R$ 2.353,43","R$ 2.381,40",7,"53,0095 %",CNH INDUSTRIAL BRASIL LTDA,43190988644091000220550010000218101125739801
00000000132600000000508,21849001,"R$ 2.824,12","R$ 2.857,68",7,"53,0017 %",CNH INDUSTRIAL BRASIL LTDA,43191088644091000220550010000218491804684746
00000000132600000000508,21850001,"R$ 2.824,12","R$ 2.857,68",7,"53,0017 %",CNH INDUSTRIAL BRASIL LTDA,43191088644091000220550010000218501868716186
