Seu Número,No Documento,Vl. Aquisição,Vl. Nominal,Prazo,Tx. Juros,Sacado,Chave
Aquisição,,,,,,,
00000000132600000000508,21846001,"R$ 1.528,11","R$ 1.568,00",19,"40,7453 %",E.R. AMANTINO E CIA LTDA  FILIAL 01,43191088644091000220550010000218461559416070
00000000132600000000508,21797001,"R$ 2.783,72","R$ 2.844,00",16,"40,1324 %",KUHNMONTANA INDUSTRIA DE MAQUINAS SA,43190988644091000220550010000217971237320787
00000000132600000000508,21797002,"R$ 1.807,58","R$ 1.896,00",36,"39,6965 %",KUHNMONTANA INDUSTRIA DE MAQUINAS SA,43190988644091000220550010000217971237320787
00000000132600000000508,21797003,"R$ 1.759,36","R$ 1.896,00",57,"39,1912 %",KUHNMONTANA INDUSTRIA DE MAQUINAS SA,43190988644091000220550010000217971237320787
00000000132600000000508,21833001,"R$ 4.153,87","R$ 4.266,00",20,"39,8802 %",KUHNMONTANA INDUSTRIA DE MAQUINAS SA,43190988644091000220550010000218331932010039
00000000132600000000508,21833002,"R$ 2.696,91","R$ 2.844,00",41,"38,5970 %",KUHNMONTANA INDUSTRIA DE MAQUINAS SA,43190988644091000220550010000218331932010039
00000000132600000000508,21833003,"R$ 2.624,57","R$ 2.844,00",60,"40,1071 %",KUHNMONTANA INDUSTRIA DE MAQUINAS SA,43190988644091000220550010000218331932010039
00000000132600000000508,21853001,"R$ 8.293,27","R$ 8.532,00",22,"38,4133 %",KUHNMONTANA INDUSTRIA DE MAQUINAS SA,43191088644091000220550010000218531201752556
00000000132600000000508,21853002,"R$ 5.384,17","R$ 5.688,00",41,"40,1309 %",KUHNMONTANA INDUSTRIA DE MAQUINAS SA,43191088644091000220550010000218531201752556
00000000132600000000508,21853003,"R$ 5.239,49","R$ 5.688,00",62,"39,6316 %",KUHNMONTANA INDUSTRIA DE MAQUINAS SA,43191088644091000220550010000218531201752556
00000000132600000000508,21864001,"R$ 4.117,70","R$ 4.266,00",27,"39,1289 %",KUHNMONTANA INDUSTRIA DE MAQUINAS SA,43191088644091000220550010000218641892880204
00000000132600000000508,21864002,"R$ 2.672,79","R$ 2.844,00",47,"39,5009 %",KUHNMONTANA INDUSTRIA DE MAQUINAS SA,43191088644091000220550010000218641892880204
00000000132600000000508,21864003,"R$ 2.600,45","R$ 2.844,00",67,"40,0359 %",KUHNMONTANA INDUSTRIA DE MAQUINAS SA,43191088644091000220550010000218641892880204
00000000132600000000508,21865001,"R$ 8.235,40","R$ 8.532,00",27,"39,1289 %",KUHNMONTANA INDUSTRIA DE MAQUINAS SA,43191088644091000220550010000218651071020861
00000000132600000000508,21865002,"R$ 5.345,59","R$ 5.688,00",47,"39,4995 %",KUHNMONTANA INDUSTRIA DE MAQUINAS SA,43191088644091000220550010000218651071020861
00000000132600000000508,21865003,"R$ 5.200,90","R$ 5.688,00",67,"40,0359 %",KUHNMONTANA INDUSTRIA DE MAQUINAS SA,43191088644091000220550010000218651071020861
