Seu Número,No Documento,Vl. Aquisição,Vl. Nominal,Prazo,Tx. Juros,Sacado,Chave
Aquisição,,,,,,,
00000000132600000000488,21707001,"R$ 16.944,73","R$ 17.146,08",7,"52,9984 %",CNH INDUSTRIAL BRASIL LTDA,43190988644091000220550010000217071692722760
00000000132600000000488,21708001,"R$ 5.648,25","R$ 5.715,36",7,"52,9919 %",CNH INDUSTRIAL BRASIL LTDA,43190988644091000220550010000217081758594222
00000000132600000000488,21711001,"R$ 29.792,66","R$ 30.223,62",10,"43,6076 %",CNH INDUSTRIAL BRASIL LTDA,43190988644091000220550010000217111837845274
00000000132600000000488,21669001,"R$ 59.444,73","R$ 60.151,07",7,"52,9960 %",MAQUINAS AGRICOLAS JACTO SA,43190988644091000220550010000216691278412490
00000000132600000000488,21672001,"R$ 20.546,08","R$ 20.790,22",7,"52,9974 %",MAQUINAS AGRICOLAS JACTO SA,43190988644091000220550010000216721532825296
00000000132600000000488,21679001,"R$ 56.208,24","R$ 56.876,12",7,"52,9957 %",MAQUINAS AGRICOLAS JACTO SA,43190988644091000220550010000216791995230140
00000000132600000000488,21686001,"R$ 48.438,32","R$ 49.013,88",7,"52,9961 %",MAQUINAS AGRICOLAS JACTO SA,43190988644091000220550010000216861064770167
00000000132600000000488,21687001,"R$ 17.429,51","R$ 17.636,61",7,"52,9951 %",MAQUINAS AGRICOLAS JACTO SA,43190988644091000220550010000216871869501573
00000000132600000000488,21694001,"R$ 12.642,19","R$ 12.803,28",8,"49,0103 %",MAQUINAS AGRICOLAS JACTO SA,43190988644091000220550010000216941221246690
00000000132600000000488,21696001,"R$ 26.803,47","R$ 27.145,00",8,"49,0092 %",MAQUINAS AGRICOLAS JACTO SA,43190988644091000220550010000216961936456375
00000000132600000000488,21697001,"R$ 8.010,72","R$ 8.112,79",8,"49,0076 %",MAQUINAS AGRICOLAS JACTO SA,43190988644091000220550010000216971562906064
00000000132600000000488,21698001,"R$ 19.013,20","R$ 19.255,46",8,"49,0076 %",MAQUINAS AGRICOLAS JACTO SA,43190988644091000220550010000216981706298829
