Seu Número,No Documento,Vl. Aquisição,Vl. Nominal,Prazo,Tx. Juros,Sacado,Chave
Aquisição,,,,,,,
00000000132600000000497,2176700,"R$ 805,73","R$ 815,31",9,"39,2293 %",MAQUINAS AGRICOLAS JACTO SA,43190988644091000220550010000217671009613268
00000000132600000000497,21770001,"R$ 13.943,80","R$ 14.109,28",9,"39,1438 %",MAQUINAS AGRICOLAS JACTO SA,43190988644091000220550010000217701347735767
00000000132600000000497,21776001,"R$ 48.699,23","R$ 49.277,18",9,"39,1442 %",MAQUINAS AGRICOLAS JACTO SA,43190988644091000220550010000217761856645352
00000000132600000000497,21778001,"R$ 52.111,95","R$ 52.909,81",11,"41,6362 %",MAQUINAS AGRICOLAS JACTO SA,43190988644091000220550010000217781864030790
00000000132600000000497,21779001,"R$ 10.344,60","R$ 10.502,98",11,"41,6359 %",MAQUINAS AGRICOLAS JACTO SA,43190988644091000220550010000217791053913116
00000000132600000000497,21780001,"R$ 29.974,91","R$ 30.511,70",14,"37,6427 %",MAQUINAS AGRICOLAS JACTO SA,43190988644091000220550010000217801502353962
00000000132600000000497,21781001,"R$ 6.631,52","R$ 6.733,05",11,"41,6353 %",MAQUINAS AGRICOLAS JACTO SA,43190988644091000220550010000217811076026432
