Seu Número,No Documento,Vl. Aquisição,Vl. Nominal,Prazo,Tx. Juros,Sacado,Chave
Aquisição,,,,,,,
00000000109900000000507,96366001,"R$ 2.345,47","R$ 2.413,13",22,"38,5075 %",ARC COMERCIO DE AUTO PECAS LTDA.,43191091215046000183550010000963661365958287
00000000109900000000507,96366002,"R$ 2.283,95","R$ 2.413,12",41,"40,2331 %",ARC COMERCIO DE AUTO PECAS LTDA.,43191091215046000183550010000963661365958287
00000000109900000000507,96367001,"R$ 2.272,49","R$ 2.338,05",22,"38,5110 %",ARC COMERCIO DE AUTO PECAS LTDA.,43191091215046000183550010000963671981484187
00000000109900000000507,96367002,"R$ 2.242,70","R$ 2.338,05",31,"40,2795 %",ARC COMERCIO DE AUTO PECAS LTDA.,43191091215046000183550010000963671981484187
00000000109900000000507,96368001,"R$ 4.706,76","R$ 4.842,54",22,"38,5087 %",ARC COMERCIO DE AUTO PECAS LTDA.,43191091215046000183550010000963681873382988
00000000109900000000507,96368002,"R$ 4.415,43","R$ 4.603,16",31,"40,2807 %",ARC COMERCIO DE AUTO PECAS LTDA.,43191091215046000183550010000963681873382988
00000000109900000000507,96368003,"R$ 4.356,77","R$ 4.603,17",41,"40,2332 %",ARC COMERCIO DE AUTO PECAS LTDA.,43191091215046000183550010000963681873382988
00000000109900000000508,96369001,"R$ 2.099,83","R$ 2.160,41",22,"38,5119 %",ARC COMERCIO DE AUTO PECAS LTDA.,43191091215046000183550010000963691819293660
00000000109900000000508,96369002,"R$ 2.072,29","R$ 2.160,40",31,"40,2822 %",ARC COMERCIO DE AUTO PECAS LTDA.,43191091215046000183550010000963691819293660
