Seu Número,No Documento,Vl. Aquisição,Vl. Nominal,Prazo,Tx. Juros,Sacado,Chave
Aquisição,,,,,,,
00000000001800000000489,5934001,"R$ 3.233,24","R$ 3.266,90",10,"29,8216 %",MOLAS ORIGINAIS SOCIEDADE LTDA. - ME,35190920213218000131550010000059341394630370
00000000001800000000489,5935001,"R$ 1.011,93","R$ 1.033,23",20,"30,0129 %",ROSSETTI EQUIPAMENTOS RODOVIARIOS LTDA,35190920213218000131550010000059351721484777
00000000001800000000489,5935002,"R$ 990,63","R$ 1.033,23",41,"29,5356 %",ROSSETTI EQUIPAMENTOS RODOVIARIOS LTDA,35190920213218000131550010000059351721484777
00000000001800000000489,5935003,"R$ 969,62","R$ 1.033,54",62,"29,6259 %",ROSSETTI EQUIPAMENTOS RODOVIARIOS LTDA,35190920213218000131550010000059351721484777
00000000001800000000489,5936001,"R$ 352,34","R$ 359,76",20,"30,0294 %",ROSSETTI EQUIPAMENTOS RODOVIARIOS LTDA,35190920213218000131550010000059361784366493
00000000001800000000489,5937001,"R$ 5.279,02","R$ 5.510,00",42,"29,2974 %",LIBRELATO S.A IMPLEMENTOS RODOVIARIOS,35190920213218000131550010000059371242966202
00000000001800000000489,5938001,"R$ 1.368,11","R$ 1.399,86",22,"30,0554 %",AMERICAN BULL IMPLEMENTOS RODOVIARIOS LT,35190920213218000131550010000059381085052788
00000000001800000000489,5938002,"R$ 1.353,68","R$ 1.399,86",33,"29,1966 %",AMERICAN BULL IMPLEMENTOS RODOVIARIOS LT,35190920213218000131550010000059381085052788
00000000001800000000489,5938003,"R$ 1.339,65","R$ 1.400,28",44,"28,8542 %",AMERICAN BULL IMPLEMENTOS RODOVIARIOS LT,35190920213218000131550010000059381085052788
00000000001800000000489,5939001,"R$ 1.393,19","R$ 1.425,52",22,"30,0533 %",ARC COMERCIO DE AUTO PECAS LTDA.,35190920213218000131550010000059391664645729
00000000001800000000489,5939002,"R$ 1.363,81","R$ 1.425,53",44,"28,8524 %",ARC COMERCIO DE AUTO PECAS LTDA.,35190920213218000131550010000059391664645729
00000000001800000000489,5939003,"R$ 1.334,81","R$ 1.425,95",64,"29,7020 %",ARC COMERCIO DE AUTO PECAS LTDA.,35190920213218000131550010000059391664645729
00000000001800000000489,5940001,"R$ 489,06","R$ 499,71",20,"31,1850 %",PAULIBRAS DISTRIB PAULISTA DE PARAFUSOS,35190920213218000131550010000059401838888266
00000000001800000000489,5940002,"R$ 483,91","R$ 499,71",31,"29,8458 %",PAULIBRAS DISTRIB PAULISTA DE PARAFUSOS,35190920213218000131550010000059401838888266
