Seu Número,No Documento,Vl. Aquisição,Vl. Nominal,Prazo,Tx. Juros,Sacado,Chave
Aquisição,,,,,,,
00000000002100000000508,127409001,"R$ 333,69","R$ 338,60",13,"32,7307 %",BLINFORT INDUSTRIA COM E SERV DE BRINDAG,35191051986958000134550010001274091001197583
00000000002100000000508,127423001,"R$ 996,17","R$ 1.027,30",31,"28,4207 %",BP BIOENERGIA TROPICAL S.A.,35191051986958000134550010001274231002642989
00000000002100000000508,127431001,"R$ 174,31","R$ 177,70",18,"30,9519 %",SHEILA VIEIRA DA SILVA - ME,35191051986958000134550010001274311005328764
00000000002100000000508,127431002,"R$ 172,67","R$ 177,70",28,"29,4896 %",SHEILA VIEIRA DA SILVA - ME,35191051986958000134550010001274311005328764
00000000002100000000508,127434001,"R$ 650,76","R$ 664,33",20,"29,6982 %",TRANSPEDROSA S A,35191051986958000134550010001274341002349657
00000000002100000000508,127434002,"R$ 637,63","R$ 664,32",41,"28,6642 %",TRANSPEDROSA S A,35191051986958000134550010001274341002349657
00000000002100000000508,127440001,"R$ 401,90","R$ 410,00",19,"30,2976 %",SCANVOL DISTRIBUIDORA LTDA,35191051986958000134550010001274401004600320
00000000002100000000508,127440002,"R$ 398,12","R$ 410,00",29,"29,1117 %",SCANVOL DISTRIBUIDORA LTDA,35191051986958000134550010001274401004600320
00000000002100000000508,127442001,"R$ 234,94","R$ 240,00",21,"29,1372 %",FLORESTA S.A. ACUCAR E ALCOOL,35191051986958000134550010001274421009913568
00000000002100000000508,127443001,"R$ 264,13","R$ 270,00",22,"28,6309 %",VIDEIRA TRANSPORTES RODOVIARIOS LTDA,35191051986958000134550010001274431008642983
00000000002100000000508,127445001,"R$ 636,30","R$ 650,00",21,"29,1270 %",RODOSUL IND COMERCIO IMPL RODOV LTDA,35191051986958000134550010001274451003947756
00000000002100000000508,127445002,"R$ 623,45","R$ 650,00",41,"29,2174 %",RODOSUL IND COMERCIO IMPL RODOV LTDA,35191051986958000134550010001274451003947756
00000000002100000000508,127446001,"R$ 323,73","R$ 330,70",21,"29,1264 %",MILANI & MILANI INDUSTRIA E COMERCIO DE,35191051986958000134550010001274461007322146
00000000002100000000508,127446002,"R$ 320,46","R$ 330,70",31,"29,1355 %",MILANI & MILANI INDUSTRIA E COMERCIO DE,35191051986958000134550010001274461007322146
00000000002100000000508,127449001,"R$ 191,50","R$ 195,62",21,"29,1022 %",USINA ITAJOBI LTDA - ACUCAR E ALCOOL,35191051986958000134550010001274491008197584
00000000002100000000508,127451001,"R$ 693,16","R$ 710,00",23,"30,0829 %",TRANSPORTADORA RODOMEU LTDA,35191051986958000134550010001274511005348768
00000000002100000000508,127451002,"R$ 680,07","R$ 710,00",42,"29,4877 %",TRANSPORTADORA RODOMEU LTDA,35191051986958000134550010001274511005348768
00000000002100000000508,127451003,"R$ 666,04","R$ 710,00",62,"29,6651 %",TRANSPORTADORA RODOMEU LTDA,35191051986958000134550010001274511005348768
00000000002100000000508,127453001,"R$ 381,78","R$ 390,00",21,"29,1270 %",J.K. IMPLEMENTOS RODOVIARIOS LTDA EPP,35191051986958000134550010001274531007642986
00000000002100000000508,127453002,"R$ 374,07","R$ 390,00",41,"29,2174 %",J.K. IMPLEMENTOS RODOVIARIOS LTDA EPP,35191051986958000134550010001274531007642986
00000000002100000000508,127457001,"R$ 920,67","R$ 940,50",21,"29,1391 %",TFT EXPRESS LOGISTICA E TRANSPORTES LTDA,35191051986958000134550010001274571009385645
00000000002100000000508,127457002,"R$ 902,09","R$ 940,50",41,"29,2122 %",TFT EXPRESS LOGISTICA E TRANSPORTES LTDA,35191051986958000134550010001274571009385645
00000000002100000000508,127457003,"R$ 883,50","R$ 940,50",61,"29,4702 %",TFT EXPRESS LOGISTICA E TRANSPORTES LTDA,35191051986958000134550010001274571009385645
00000000002100000000508,127459001,"R$ 279,97","R$ 286,00",21,"29,1381 %",KAIZEN LOGISTICA EIRELI,35191051986958000134550010001274591002197589
00000000002100000000508,127461001,"R$ 127,03","R$ 129,77",21,"29,1862 %",RUSSO EQUIP E TRANSPORTES LTDA,35191051986958000134550010001274611005318768
00000000002100000000508,127464001,"R$ 377,39","R$ 385,00",19,"30,3155 %",POSTO DE MOLAS ALEXANDRE LTDA,35191051986958000134550010001274641002349680
00000000002100000000508,127465001,"R$ 665,92","R$ 679,35",19,"30,3202 %",USINA MONTE ALEGRE S.A.,35191051986958000134550010001274651003947252
00000000002100000000508,127466001,"R$ 264,80","R$ 270,50",21,"29,1194 %",MG COMERCIO DE PECAS E SERVICOS LTDA,35191051986958000134550010001274661007328147
00000000002100000000508,127466002,"R$ 262,13","R$ 270,50",31,"29,1117 %",MG COMERCIO DE PECAS E SERVICOS LTDA,35191051986958000134550010001274661007328147
00000000002100000000508,127466003,"R$ 259,45","R$ 270,50",41,"29,2208 %",MG COMERCIO DE PECAS E SERVICOS LTDA,35191051986958000134550010001274661007328147
00000000002100000000508,127467001,"R$ 293,68","R$ 300,00",21,"29,1108 %",MENFRER REFORMADORA DE EQUIPAMENTOS,35191051986958000134550010001274671009325649
00000000002100000000508,127468001,"R$ 486,65","R$ 500,50",27,"29,9417 %",MOOTRAT PECAS PARA TRATORES LTDA,35191051986958000134550010001274681007591241
00000000002100000000508,127468002,"R$ 480,06","R$ 500,50",41,"29,2116 %",MOOTRAT PECAS PARA TRATORES LTDA,35191051986958000134550010001274681007591241
00000000002100000000508,127469001,"R$ 1.953,81","R$ 2.037,00",41,"29,2118 %",JSL S.A.,35191051986958000134550010001274691000197588
00000000002100000000508,127470001,"R$ 459,11","R$ 469,00",21,"29,1437 %",EMPRESA DE TRANSPORTES TRANS AGUIAR LTDA,35191051986958000134550010001274701004606327
00000000002100000000508,127471001,"R$ 2.581,88","R$ 2.691,82",41,"29,2141 %",JSL S.A.,35191051986958000134550010001274711005358766
00000000002100000000508,127472001,"R$ 3.830,58","R$ 3.993,69",41,"29,2139 %",JSL S A,35191051986958000134550010001274721009613563
00000000002100000000508,127473001,"R$ 2.686,08","R$ 2.800,45",41,"29,2122 %",JSL S A,35191051986958000134550010001274731009642986
00000000002100000000508,127474001,"R$ 2.581,88","R$ 2.691,82",41,"29,2141 %",JSL S.A.,35191051986958000134550010001274741002349695
00000000002100000000508,127475001,"R$ 17.028,43","R$ 17.572,48",31,"29,1308 %",SUZANO PAPEL E CELULOSE S A,35191051986958000134550010001274751003947453
00000000002100000000508,127476001,"R$ 5.545,51","R$ 5.722,69",31,"29,1315 %",SUZANO PAPEL E CELULOSE S A,35191051986958000134550010001274761007323141
