Seu Número,No Documento,Vl. Aquisição,Vl. Nominal,Prazo,Tx. Juros,Sacado,Chave
Aquisição,,,,,,,
00000000001500000000504,13185-1,"R$ 10.966,82","R$ 11.169,00",19,"27,4161 %",DRIA  IMPLEMENTOS AGRICOLAS LTDA,43190908304710000117550000000131851944071710
00000000001500000000504,13184-1,"R$ 5.827,17","R$ 5.934,60",19,"27,4168 %",DRIA  IMPLEMENTOS AGRICOLAS LTDA,43190908304710000117550000000131841993236100
00000000001500000000504,13181-1,"R$ 3.400,41","R$ 3.493,15",29,"26,3417 %",IBERO IND BRASILEIRA DE EQUIP RODOV LTDA,43190908304710000117550000000131811616037338
00000000001500000000504,13181-2,"R$ 2.939,59","R$ 3.036,70",34,"27,2383 %",IBERO IND BRASILEIRA DE EQUIP RODOV LTDA,43190908304710000117550000000131811616037338
00000000001500000000504,13181-3,"R$ 2.930,43","R$ 3.036,70",38,"26,6468 %",IBERO IND BRASILEIRA DE EQUIP RODOV LTDA,43190908304710000117550000000131811616037338
00000000001500000000504,13180-1,"R$ 6.800,84","R$ 6.986,32",29,"26,3417 %",IBERO IND BRASILEIRA DE EQUIP RODOV LTDA,43190908304710000117550000000131801513816540
00000000001500000000504,13180-2,"R$ 5.879,17","R$ 6.073,39",34,"27,2384 %",IBERO IND BRASILEIRA DE EQUIP RODOV LTDA,43190908304710000117550000000131801513816540
00000000001500000000504,13180-3,"R$ 5.860,84","R$ 6.073,39",38,"26,6482 %",IBERO IND BRASILEIRA DE EQUIP RODOV LTDA,43190908304710000117550000000131801513816540
00000000001500000000504,13176-1,"R$ 1.797,66","R$ 1.822,96",14,"28,6034 %",DANTAS E SOARES COMERCIO E SERVICOS EM V,43190908304710000117550000000131761086313970
00000000001500000000504,13175-1,"R$ 10.201,25","R$ 10.479,47",29,"26,3417 %",IBERO IND BRASILEIRA DE EQUIP RODOV LTDA,43190908304710000117550000000131751089002560
00000000001500000000504,13175-2,"R$ 8.818,75","R$ 9.110,09",34,"27,2394 %",IBERO IND BRASILEIRA DE EQUIP RODOV LTDA,43190908304710000117550000000131751089002560
00000000001500000000504,13175-3,"R$ 8.791,27","R$ 9.110,09",38,"26,6478 %",IBERO IND BRASILEIRA DE EQUIP RODOV LTDA,43190908304710000117550000000131751089002560
