Seu Número,No Documento,Vl. Aquisição,Vl. Nominal,Prazo,Tx. Juros,Sacado,Chave
Aquisição,,,,,,,
00000000132600000000490,21700001,"R$ 46.104,70","R$ 47.263,39",10,"86,9165 %",MAQUINAS AGRICOLAS JACTO SA,43190988644091000220550010000217001948376589
00000000132600000000490,21701001,"R$ 23.741,73","R$ 24.338,40",10,"86,9164 %",MAQUINAS AGRICOLAS JACTO SA,43190988644091000220550010000217011632831704
00000000132600000000490,21702001,"R$ 40.775,97","R$ 42.011,91",11,"98,1928 %",MAQUINAS AGRICOLAS JACTO SA,43190988644091000220550010000217021493694808
00000000132600000000490,21703001,"R$ 30.581,98","R$ 31.508,93",11,"98,1921 %",MAQUINAS AGRICOLAS JACTO SA,43190988644091000220550010000217031684899215
00000000132600000000490,21704001,"R$ 14.760,20","R$ 15.131,15",10,"86,9168 %",MAQUINAS AGRICOLAS JACTO SA,43190988644091000220550010000217041333739018
00000000132600000000490,21705001,"R$ 13.556,32","R$ 13.967,22",11,"98,1932 %",MAQUINAS AGRICOLAS JACTO SA,43190988644091000220550010000217051570429931
00000000132600000000490,21706001,"R$ 4.199,91","R$ 4.305,46",10,"86,9155 %",MAQUINAS AGRICOLAS JACTO SA,43190988644091000220550010000217061585269312
00000000132600000000490,21727001,"R$ 36.189,42","R$ 37.036,87",9,"91,1940 %",MAQUINAS AGRICOLAS JACTO SA,43190988644091000220550010000217271180034972
00000000132600000000490,21730001,"R$ 8.329,44","R$ 8.610,91",13,"90,4509 %",MAQUINAS AGRICOLAS JACTO SA,43190988644091000220550010000217301967829851
00000000132600000000490,21731001,"R$ 18.741,24","R$ 19.374,55",13,"90,4513 %",MAQUINAS AGRICOLAS JACTO SA,43190988644091000220550010000217311271827994
00000000132600000000490,21732001,"R$ 26.381,37","R$ 27.181,00",11,"98,1924 %",MAQUINAS AGRICOLAS JACTO SA,43190988644091000220550010000217321438529760
00000000132600000000490,21733001,"R$ 10.287,25","R$ 10.599,06",11,"98,1921 %",MAQUINAS AGRICOLAS JACTO SA,43190988644091000220550010000217331949374351
00000000132600000000490,21734001,"R$ 5.764,61","R$ 6.041,06",19,"86,1295 %",MAQUINAS AGRICOLAS JACTO SA,43190988644091000220550010000217341325679574
00000000132600000000490,21724001,"R$ 7.605,39","R$ 7.783,49",9,"91,1968 %",CNH INDUSTRIAL BRASIL LTDA,43190988644091000220550010000217241876071860
00000000132600000000490,21725001,"R$ 2.326,91","R$ 2.381,40",9,"91,1954 %",CNH INDUSTRIAL BRASIL LTDA,43190988644091000220550010000217251725982836
00000000132600000000490,21735001,"R$ 26.551,69","R$ 27.310,50",10,"103,4157 %",CNH INDUSTRIAL BRASIL LTDA,43190988644091000220550010000217351213263268
00000000132600000000490,21736001,"R$ 35.328,79","R$ 36.277,45",10,"94,9851 %",CNH INDUSTRIAL BRASIL LTDA,43190988644091000220550010000217361513572190
00000000132600000000490,21739001,"R$ 10.238,41","R$ 10.478,16",9,"91,1922 %",CNH INDUSTRIAL BRASIL LTDA,43190988644091000220550010000217391020838624
00000000132600000000490,21741001,"R$ 4.638,25","R$ 4.762,80",10,"94,9873 %",CNH INDUSTRIAL BRASIL LTDA,43190988644091000220550010000217411660802123
