Seu Número,No Documento,Vl. Aquisição,Vl. Nominal,Prazo,Tx. Juros,Sacado,Chave
Aquisição,,,,,,,
00000000002100000000506,127296001,"R$ 1.761,24","R$ 1.798,00",20,"29,7288 %",MARIO LUIZ VERDI & FILHO LTDA,35190951986958000134550010001272961007379149
00000000002100000000506,127296002,"R$ 1.725,69","R$ 1.798,00",41,"28,6975 %",MARIO LUIZ VERDI & FILHO LTDA,35190951986958000134550010001272961007379149
00000000002100000000506,127296003,"R$ 1.690,12","R$ 1.798,00",62,"28,5945 %",MARIO LUIZ VERDI & FILHO LTDA,35190951986958000134550010001272961007379149
00000000002100000000506,127302001,"R$ 1.072,62","R$ 1.095,00",20,"29,7178 %",USINA DE LATICINIOS JUSSARA S A,35190951986958000134550010001273021000113568
00000000002100000000506,127324001,"R$ 2.630,80","R$ 2.741,04",41,"28,6987 %",JSL S.A.,35190951986958000134550010001273241002349540
00000000002100000000506,127325001,"R$ 2.215,87","R$ 2.308,72",41,"28,6977 %",JSL S.A.,35190951986958000134550010001273251003948959
00000000002100000000506,127326001,"R$ 1.053,74","R$ 1.097,90",41,"28,7019 %",JSL S A,35190951986958000134550010001273261007307149
00000000002100000000506,127327001,"R$ 1.814,63","R$ 1.853,74",21,"29,1602 %",BORELLI BRASIL EXPRESS TRANSPORTE E LOGI,35190951986958000134550010001273271009745647
00000000002100000000506,127327002,"R$ 1.780,42","R$ 1.853,75",40,"28,9528 %",BORELLI BRASIL EXPRESS TRANSPORTE E LOGI,35190951986958000134550010001273271009745647
00000000002100000000506,127329001,"R$ 66,83","R$ 68,22",20,"29,6126 %",COOPERVAL COOP AGR VALE DO IVAI LTDA,35190951986958000134550010001273291007197531
00000000002100000000506,127329002,"R$ 65,48","R$ 68,22",41,"28,6541 %",COOPERVAL COOP AGR VALE DO IVAI LTDA,35190951986958000134550010001273291007197531
00000000002100000000506,127329003,"R$ 64,12","R$ 68,21",62,"28,5733 %",COOPERVAL COOP AGR VALE DO IVAI LTDA,35190951986958000134550010001273291007197531
00000000002100000000506,127330001,"R$ 822,83","R$ 840,00",20,"29,7214 %",MOLAMEC COMERCIO E SERVICOS DE MOLAS E M,35190951986958000134550010001273301004677320
